https://ctcrash.uconn.edu/QueryTool2.action?qid=110308
"CrashID","VehicleID","Trailer ID","Trailer Information Same As Carrier","Trailer Information Same As Power Unit","Trailer Information Same As Other Trailer","Trailer Owner City","Trailer Owner State","Trailer Owner Country","Trailer Owner Postal Code","Trailer License Plate Issuing State Code","Trailer License Plate Was Expired","Trailer License Plate Was Missing","Trailer Vehicle Identification Number"
"580921","3","1","false","false","false","","  ","","","  ","","",""
"580921","3","2","false","false","false","","  ","","","  ","","",""
"585498","1","1","true","false","false","","  ","","","NY","","","1UYVS253X7M045515"
"585498","1","2","false","false","false","","  ","","","  ","","",""
"586562","1","1","false","false","false","","  ","","","  ","","",""
"586562","1","2","false","false","false","","  ","","","  ","","",""
"588118","2","1","false","false","false","","  ","","","  ","","",""
"588118","2","2","false","false","false","","  ","","","  ","","",""
"595227","2","1","false","false","false","","  ","","","  ","","",""
"595227","2","2","false","false","false","","  ","","","  ","","",""
"598571","2","1","false","false","false","","  ","","","  ","","",""
"598571","2","2","false","false","false","","  ","","","  ","","",""
"598618","2","1","false","false","false","","  ","","","  ","","",""
"598618","2","2","false","false","false","","  ","","","  ","","",""
"598620","1","1","false","false","false","Jefferson","ME","","04348","ME","","","1S12E95356E507709"
"598620","1","2","false","false","false","","  ","","","  ","","",""
"598624","1","1","false","false","false","","  ","","","  ","","",""
"598624","1","2","false","false","false","","  ","","","  ","","",""
"599030","1","1","true","false","false","","  ","","","ME","","","527SR2810KM017523"
"599030","1","2","false","false","false","","  ","","","  ","","",""
"599408","2","1","false","false","false","","  ","","","  ","","",""
"599408","2","2","false","false","false","","  ","","","  ","","",""
"600617","2","1","false","false","false","","  ","","","  ","","",""
"600617","2","2","false","false","false","","  ","","","  ","","",""
"601135","1","1","false","true","false","DERBY","VT","","05829","  ","","",""
"601135","1","2","false","false","false","","  ","","","  ","","",""
"602745","2","1","false","false","false","","  ","","","  ","","",""
"602745","2","2","false","false","false","","  ","","","  ","","",""
"605878","1","1","false","false","false","","  ","","","  ","","",""
"605878","1","2","false","false","false","","  ","","","  ","","",""
"606259","1","1","false","false","false","","  ","","","  ","","",""
"606259","1","2","false","false","false","","  ","","","  ","","",""
"607976","1","1","false","true","false","Dubuque","IA","","52003","WI","","","5WSAB43282N035372"
"607976","1","2","false","false","false","","  ","","","  ","","",""
"608097","1","1","false","false","false","","  ","","","  ","","",""
"608097","1","2","false","false","false","","  ","","","  ","","",""
"610715","1","1","false","false","false","","  ","","","  ","","",""
"610715","1","2","false","false","false","","  ","","","  ","","",""
"610798","2","1","false","false","false","","  ","","","  ","","",""
